,process,id,name,description,processType,lastChange,version,location,category
608,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RAF",3ac208fa-1688-3da9-880f-83faf8257267,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset is a market group. Market groups represent a 'market of markets'. Their purpose is to group a set of markets into larger, geographically relevant datasets.;Market groups are created for convenience and ease of use. They only group other markets and/or market groups contained within their geography.;Losses and relevant exchanges (transport, transport infrastructure, etc.) are not included in this dataset. They are present in the contained markets.   From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.811+08:00,03.00.003,Africa,"3510:Electric power generation, transmission and distribution"
609,"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg | electricity, low voltage | Cutoff, S_RoW",3993236e-eb6d-32e9-986b-957b465c28a7,"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg | electricity, low voltage | Cutoff, S","The multioutput-process 'natural gas, burned in cogen 160kWe Jakobsberg, allocation exergy' delivers the coproducts 'electricity, at cogen 160kWe Jakobsberg, allocation exergy' and 'heat, at cogen 160kWe Jakobsberg, allocation exergy'. The exergy allocation is the allocation scheme suggested to be used within ecoinvent (e.g. in electricity mixes).;[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.] From cradle, i.e. including all upstream activities. The module includes fuel input, infrastructure, emissions to air, and substances needed for operation.",ProcessType.LCI_RESULT,2021-01-05T00:56:16.195+08:00,03.02.003,Rest-of-World,3530:Steam and air conditioning supply
610,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MY",53c1af3c-9ce3-36ee-9f05-1966f56e8eff,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electricity available on the low voltage level in Malaysia for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.855+08:00,03.01.003,Malaysia,"3510:Electric power generation, transmission and distribution"
611,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PA",1b3daaf3-d054-3aac-88ed-f52a7000b1c1,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Panama for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.871+08:00,03.01.003,Panama,"3510:Electric power generation, transmission and distribution"
612,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BR-Northern grid",048c4a4a-3f03-4524-903a-465a586b011f,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S","This dataset represents the transformation of electricity voltage from medium to low voltage.;Definition of the voltage levels: ; - High voltage level above 24 kV (large scale industry); - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector;and public buildings); - Low voltage level below 1 kV (Households);The original ecoinvent dataset used as a basis was 'electricity voltage transformation from medium to low voltage, BR, 2012-2012' and it has been copied in '12/2017';[This dataset is meant to replace the following datasets:
 - electricity voltage transformation from medium to low voltage, BR, 2012 - 2012 (9bdb5bc4-960d-452f-95bc-3a11994b1118)] This activity starts with the medium voltage electricity arriving at the transformer station. From cradle, i.e. including all upstream activities. This activity ends with 1kWh of medium voltage electricity transformed to low voltage. 

This dataset includes the losses during voltage transformation.

It doesn't include the transformer station itself as this is included in the dataset for the transmission network.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.896+08:00,03.02.003,"Brazil, Northern grid","3510:Electric power generation, transmission and distribution"
613,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_QA",a8228cae-a592-3f44-8bfd-269057c3cd3f,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S","This dataset represents the transformation of electricity voltage from medium to low voltage.;Definition of the voltage levels: ; - High voltage level above 24 kV (large scale industry); - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector;and public buildings); - Low voltage level below 1 kV (Households) This activity starts with the medium voltage electricity arriving at the transformer station. From cradle, i.e. including all upstream activities. This activity ends with 1kWh of medium voltage electricity transformed to low voltage. 

This dataset includes the losses during voltage transformation.

It doesn't include the transformer station itself as this is included in the dataset for the transmission network.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.900+08:00,03.02.003,Qatar,"3510:Electric power generation, transmission and distribution"
614,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_IT",11832d50-89fa-307f-b249-8b6c6c5b04ad,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S","This dataset represents the production of grid-connected low voltage electricity with a 570 kWp open ground photovoltaic (PV) plant in Italy in 2012. Large central photovoltaic power stations in the higher kilowatt to megawatt range can feed directly into the medium- or high voltage grid. However, the voltage depends largely on the design and size of the plant. In order to treat all photovoltaic installations the same way (no matter which size, design and installation type (building integrated or open ground)), low voltage electricity is assumed as a product in this dataset. Please see field 'extrapolations' for further discussion. ;The plant consists out of multi-Si panel modules with a total capacity of 570 kWp.  ;An inverter is used to convert the low voltage DC power into AC power. ;An average yield of {{yield}} was assumed for the calculations. From the PV module installed and ready to be used. From cradle, i.e. including all upstream activities. This activity ends with low voltage electricity produced with the 570 kWp module, assuming an average yield. 

This dataset includes tap water use for cleaning the module and its treatment.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.033+08:00,03.01.004,Italy,"3510b: Electric power generation, photovoltaic"
615,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AR",b609145a-9f8c-31f5-aadf-be6ae01eddf4,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electricity available on the low voltage level Argentina in 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of medium voltage electricity in the transmission network over aerial lines and cables.

This dataset includes: 
  - electricity inputs produced inArgentina and from imports and transformed to medium volt",ProcessType.LCI_RESULT,2021-01-05T00:56:12.921+08:00,03.02.003,Argentina,"3510:Electric power generation, transmission and distribution"
616,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-SK",dfde1950-10ed-399a-be60-12e16a984294,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S","This dataset represents the production of grid-connected low voltage electricity with a 570 kWp open ground photovoltaic (PV) plant in Saskatchewan (Canada) in 2013. Large central photovoltaic power stations in the higher kilowatt to megawatt range can feed directly into the medium- or high voltage grid. However, the voltage depends largely on the design and size of the plant. In order to treat all photovoltaic installations the same way (no matter which size, design and installation type (building integrated or open ground)), low voltage electricity is assumed as a product in this dataset. Please see field 'extrapolations' for further discussion. ;The plant consists out of multi-Si panel modules with a total capacity of 570 kWp.  ;An inverter is used to convert the low voltage DC power into AC power. ;An average yield of {{yield}} was assumed for the calculations. From the PV module installed and ready to be used. From cradle, i.e. including all upstream activities. This activity ends with low voltage electricity produced with the 570 kWp module, assuming an average yield. 

This dataset includes tap water use for cleaning the module and its treatment.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.034+08:00,03.01.004,Saskatchewan,"3510b: Electric power generation, photovoltaic"
617,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_UA",271353a0-65e7-3a51-870e-bc5891bf5845,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S","This dataset represents the transformation of electricity voltage from medium to low voltage.;Definition of the voltage levels: ; - High voltage level above 24 kV (large scale industry); - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector;and public buildings); - Low voltage level below 1 kV (Households) This activity starts with the medium voltage electricity arriving at the transformer station. From cradle, i.e. including all upstream activities. This activity ends with 1kWh of medium voltage electricity transformed to low voltage. 

This dataset includes the losses during voltage transformation.

It doesn't include the transformer station itself as this is included in the dataset for the transmission network.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.928+08:00,03.04.003,Ukraine,"3510:Electric power generation, transmission and distribution"
618,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CL",5a5ba47c-6f80-3f97-8a60-f810b3707336,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S","This dataset represents the transformation of electricity voltage from medium to low voltage.;Definition of the voltage levels: ; - High voltage level above 24 kV (large scale industry); - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector;and public buildings); - Low voltage level below 1 kV (Households) This activity starts with the medium voltage electricity arriving at the transformer station. From cradle, i.e. including all upstream activities. This activity ends with 1kWh of medium voltage electricity transformed to low voltage. 

This dataset includes the losses during voltage transformation.

It doesn't include the transformer station itself as this is included in the dataset for the transmission network.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.938+08:00,03.04.003,Chile,"3510:Electric power generation, transmission and distribution"
619,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_RU",cab87609-4b00-348c-be8b-d3199535c78c,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electricity available on the low voltage level in Russia for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.964+08:00,03.01.003,Russian Federation,"3510:Electric power generation, transmission and distribution"
620,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CN-SGCC",374ef615-e82e-3c61-8623-331971ce560c,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electricity available on the low voltage level in State Grid Corporation of China for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2014. They have been implemented by the software layer and don't represent the production volumes in the unlinked datasets valid for the year 2012. These shares have been calculated based on statistics from 2014. Basic source: China Electric Power Yearbook 2015 with data for 2014. Further information will be available in a report available on ecoQuery. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.035+08:00,03.01.004,State Grid Corporation of China,"3510b: Electric power generation, photovoltaic"
621,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CW",b098c8e7-e182-36e9-85dd-0370b4d1b3ab,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Curaçao for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.972+08:00,03.01.003,Curaçao,"3510:Electric power generation, transmission and distribution"
622,"natural gas, burned in solid oxide fuel cell 125kWe, future | electricity, low voltage | Cutoff, S_CH",b0cab4d9-3fe7-3617-9cff-e0a23cdafbc0,"natural gas, burned in solid oxide fuel cell 125kWe, future | electricity, low voltage | Cutoff, S","The multioutput-process 'natural gas, burned in SOFC fuel cell 125kWe delivers the coproducts 'heat, natural gas, allocation exergy, at SOFC fuel cell 125kWe' and 'electricity, natural gas, allocation exergy, at SOFC fuel cell 125kWe' . The exergy allocation is the allocation scheme suggested to be used within the ecoinvent database (e.g. in electricity mixes).;[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.] From cradle, i.e. including all upstream activities. The module includes fuel input, infrastructure, emissions to air, and working materials for operation.",ProcessType.LCI_RESULT,2021-01-05T00:56:12.983+08:00,03.49.003,Switzerland,"3510:Electric power generation, transmission and distribution"
623,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_LY",1c699b35-4f76-32fe-9bc8-35d5ff00dfeb,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Libya for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:13.004+08:00,03.01.003,Libya,"3510:Electric power generation, transmission and distribution"
624,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_MY",90f8e0ef-7bb6-33f4-866b-622a28014010,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S","This dataset represents the production of grid-connected low voltage electricity with a 3 kWp building integrated photovoltaic (PV) module in Malaysia in 2012. The 3 kWp module has been chosen as basic module for building integrated PV electricity production. Larger modules can easily be built with these 3 kWp modules without producing a significant error in environmental impact calculations. The module is a multi-Si panel installed on a slanted roof.;An inverter is used to convert the low voltage DC power into AC power.;[This dataset is meant to replace the following datasets:] From the PV module installed and ready to be used. From cradle, i.e. including all upstream activities. This activity ends with low voltage electricity produced with the 3 kWp module, assuming an average yield. 

This dataset includes tap water use for cleaning the module and it’s treatment.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.037+08:00,03.01.004,Malaysia,"3510b: Electric power generation, photovoltaic"
625,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KG",a6cd246b-0616-39c3-8d08-d41310d31b32,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Kyrgyzstan for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:13.009+08:00,03.01.003,Kyrgyzstan,"3510:Electric power generation, transmission and distribution"
626,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH",aafc1163-ecfd-310f-ada2-ab3ab8debb6b,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated | electricity, low voltage | Cutoff, S","Assumption for electricity production of photovoltaic plants with good performance. Average performance is lower while optimum performance would be higher. Total capacity in Switzerland for the year 2005 was 23.8 MWp. Dataset can be used for comparison of energy technologies in Switzerland, but not for assessment of average production patterns. Yield data must be corrected for the installations used in other countries.;[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.] From cradle, i.e. including all upstream activities. Infrastructure for 3kWp PV-plant. Water use for cleaning. Amount of solar energy transformed to electricity. Waste heat emission due to losses of electricity in the system.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.039+08:00,03.01.004,Switzerland,"3510b: Electric power generation, photovoltaic"
627,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AO",cba07b4e-1228-39fb-ac5c-38a4355f88f7,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Angola for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:13.018+08:00,03.01.003,Angola,"3510:Electric power generation, transmission and distribution"
628,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_UZ",33074f4c-6249-38cf-955e-ed80695d0728,"market for electricity, low voltage | electricity, low voltage | Cutoff, S","This dataset describes the electrcity available on the low voltage level in Uzbekistan for year 2014. This is done by showing the transmission of 1kWh electricity at low voltage.;The shares of electricity technologies on this market are valid for the year 2017. They have been calculated by the data provider and don't necessarily correspond with the production volumes entered in the undefined datasets of the different electricity producers. The shares have been calculated based on statistics from 2017: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Grid losses are based on data from 2017 (also IEA World Energy Statistics and Balances). Further information can be found in a report available on ecoQuery, section 'Files'. This activity starts from 1kWh of electricity fed into the low voltage transmission network. From cradle, i.e. including all upstream activities. This activity ends with the transport of 1 kWh of low voltage electricity in the transmission network over aerial lines and cables.
This dataset includes:
- electricity inputs produced in this country and from imports and transformed to low voltage
- the transmission network
- direct emissions to air (SF6 from the insulation gas in the high voltage level switchgear are allocated to the electricity demand on medium voltage). 
- electricity losses during transmission
This dataset doesn't include
- electricity losses during transformation from high to medium voltage or medium to low, as these are included in the dataset for transformation
- leakage of insulation oil from cables and electro technical equipment (transformers, switchgear, circuit breakers) because this only happens in case of accidental release
- SF6 emissions during production and deconstruction of the switchgear, as these are accounted for in the transmission network dataset.",ProcessType.LCI_RESULT,2021-01-05T00:56:13.020+08:00,03.01.003,Uzbekistan,"3510:Electric power generation, transmission and distribution"
629,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_MY",d26a03d6-8f7f-370f-99c9-89344b3808b9,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S","This dataset represents the production of grid-connected low voltage electricity with a 3 kWp building integrated photovoltaic (PV) module in Malaysia in 2012. The 3 kWp module has been chosen as basic module for building integrated PV electricity production. Larger modules can easily be built with these 3 kWp modules without producing a significant error in environmental impact calculations. The module is a single-Si panel installed on a slanted roof.;An inverter is used to convert the low voltage DC power into AC power.;[This dataset is meant to replace the following datasets:] From the PV module installed and ready to be used. From cradle, i.e. including all upstream activities. This activity ends with low voltage electricity produced with the 3 kWp module, assuming an average yield. 

This dataset includes tap water use for cleaning the module and it’s treatment.",ProcessType.LCI_RESULT,2021-01-05T00:56:10.041+08:00,03.01.004,Malaysia,"3510b: Electric power generation, photovoltaic"
630,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW",40d43116-a6dd-3bc5-9d82-d3e70e436ef2,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, laminated, integrated | electricity, low voltage | Cutoff, S","This dataset represents the production of grid-connected low voltage electricity with a 3 kWp building integrated photovoltaic (PV) module worldwide in 2011 as an extrapolation from Switzerland.. The 3 kWp module has been chosen as basic module for building integrated PV electricity production. Larger modules can easily be built with these 3 kWp modules without producing a significant error in environmental impact calculations. The module is a  thin film amorphous Si (a-Si) laminate installed on a slanted roof.
An inverter is used to convert the low voltage DC power into AC power. 
An average yield of 1099 kWh/kWp was assumed for the calculations . 
 From the PV module installed and ready to be used.  From cradle, i.e. including all upstream activities. This activity ends with low voltage electricity produced with the 3 kWp module, assuming an average yield. 

This dataset includes tap water use for cleaning the module and it’s treatment. 
",ProcessType.LCI_RESULT,2021-01-05T00:56:10.042+08:00,03.03.004,Rest-of-World,"3510b: Electric power generation, photovoltaic"
